id,Name,TotalVotes,Percentage
2,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,82,48.52
2,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,78,46.15
2,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,2,1.18
2,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,2,1.18
2,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,1,0.59
2,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,1,0.59
2,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,1,0.59
2,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,1,0.59
2,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,1,0.59
2,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,0,0
2,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,0,0
2,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
2,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
2,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
2,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
2,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,0,0
2,SENAD BRATIĆ - POKRET DRŽAVA,0,0
2,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",0,0
2,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
2,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,0,0
2,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
2,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
2,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
2,NIKOLA SUVAJAC - NS,0,0
2,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
2,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
2,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
2,ALEN POPOVIĆ - NOVO DOBA,0,0
2,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
2,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
2,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
3,JELENA TRIVIĆ - PDP - PARTIJA DEMOKRATSKOG PROGRESA,96,56.14
3,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,67,39.18
3,DEJAN PEJIĆ - LIBERALNA STRANKA - LS BIH,2,1.17
3,MILIVOJEVIĆ CVIJETIN - NEZAVISNI KANDIDAT,2,1.17
3,"DAVOR PRANJIĆ - HDZ BIH,HSP BIH,HKDU,HSP AS,HSP HB,HRAST,HDU",1,0.58
3,BUBIĆ JELENKO - NEZAVISNI KANDIDAT,1,0.58
3,IVANOVIĆ DALIBOR - NEZAVISNI KANDIDAT,1,0.58
3,ILIĆ MIROSLAV - NEZAVISNI KANDIDAT,1,0.58
3,VLADIMIR BIJELIĆ - STRANKA ŽIVOT,0,0
3,ANĐELIĆ MILAN - NEZAVISNI KANDIDAT,0,0
3,BEGIĆ IVAN - NEZAVISNI KANDIDAT,0,0
3,SENAD BRATIĆ - POKRET DRŽAVA,0,0
3,ĐURĐEVIĆ DUŠKO - NEZAVISNI KANDIDAT,0,0
3,JUSUF ARIFAGIĆ - ZA DRŽAVU BIH,0,0
3,SMILJANIĆ MILJAN - NEZAVISNI KANDIDAT,0,0
3,DAČAJ GAZMEND - NEZAVISNI KANDIDAT,0,0
3,DOBRILOVIĆ ANA - NEZAVISNI KANDIDAT,0,0
3,DRAGIČEVIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
3,MILOŠEVIĆ GORAN - NEZAVISNI KANDIDAT,0,0
3,DURAKOVIĆ ĆAMIL - NEZAVISNI KANDIDAT,0,0
3,NIKOLA SUVAJAC - NS,0,0
3,ZORAN KALINIĆ - NAŠA PRIČA REPUBLIKA SRPSKA,0,0
3,GAŠEVIĆ IGOR - NEZAVISNI KANDIDAT,0,0
3,AMIR REKO - EKOLOŠKA PARTIJA REPUBLIKE SRPSKE,0,0
3,DESPOT DAVOR - NEZAVISNI KANDIDAT,0,0
3,NEĐO ĐURIĆ - SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
3,ALEN POPOVIĆ - NOVO DOBA,0,0
3,DRAGIČEVIĆ DUŠAN - NEZAVISNI KANDIDAT,0,0
3,"LJUBIŠA ALADŽIĆ - SRPSKA NAPREDNA STRANKA RS-FBIH ""ZA PROMJENE""",0,0
3,SEKULIĆ SLAVKO - NEZAVISNI KANDIDAT,0,0
3,RADISLAV JOVIČIĆ - DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
4,MILORAD DODIK - SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,157,64.08
